"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43"
0,264036.57992646,932761.543394981,1153362.57377531,2599548.69889686,1358964.64556281,1832149.63723614,682227.488785466,441293.121949842,1489314.93398825,705896.536343778,412781.74593052,720063.058585147,422906.637611546,401445.742854947,1439287.58877778,824986.940139396,231078.210486802,3039979.28985015,2172957.86182535,221007.142674937,898724.963468522,689057.623937657,850119.841047143,782607.214462431,1923872.50866362,897452.88552988,1492060.9665441,841849.855149549,1245734.19818451,93941.1254969543,1411490.42404917,1236119.84104714,402492.424049174,1938428.85784972,2028607.57339991,2455332.53686843,504806.132548158,532783.83797157,523712.770159705,2677111.45437182,713198.051533943,618752.400720047
264036.579926459,0,731719.912834641,952320.943214972,2386046.17357992,1094928.06563635,1631108.0066758,648548.339959388,386501.274751556,1225278.35406179,504854.905783438,181053.823869162,519021.428024807,641060.966544097,619600.071787497,1238245.95821744,623945.309579056,449232.539419351,2835422.94066405,1964301.00757586,439161.471607485,1116879.29240107,626447.834895999,636617.315730199,581565.583902091,1722830.87810328,1115607.21446243,1228024.38661764,1060004.1840821,1044692.56762417,332806.132548159,1147453.84412272,972083.261120684,138455.844122716,1737387.22728938,1827565.94283957,2250776.18768233,291303.607231218,331742.20741123,322671.139599365,2472555.10518572,512156.420973603,417710.770159707
932761.543394981,731719.912834639,0,290632.559672906,2410409.52186597,1421667.31445474,1592206.41969814,1376167.74773063,1114120.6825228,1552017.60288018,423190.908859009,621102.59710444,485391.918985786,1309785.93001262,1288325.03525602,758737.156777341,582700.576850886,1117957.50288787,2834053.31625485,1974605.48135886,1107886.43507601,1025714.86220075,1354067.24266724,834121.933088193,501658.946290543,1694473.4470029,1034442.78426211,1554763.63543603,1155952.45225399,874574.818618073,1001531.09601668,1474193.09294111,1298822.50993908,697943.217538005,1710787.15550188,1828497.83362054,2249406.56327313,542298.556597332,434771.644662751,439700.576850886,2471185.48077652,230350.288425444,411703.627484771
1153362.57377531,952320.943214968,290632.559672906,0,2598701.8943812,1642268.34483507,1780498.79221337,1325021.52006585,1334721.71290313,1772618.63326051,611483.281374238,841703.627484769,680311.708498985,1157735.15677734,1197095.54647056,541566.542494923,770992.949366115,1338558.5332682,3022345.68877008,2162897.85387409,1328487.46545634,738249.875403105,1351992.08281433,1054722.96346852,689951.318805773,1882765.81951813,746977.797464463,1775364.66581636,868487.465456339,1062867.1911333,1222132.12639701,1694794.12332144,1519423.54031941,918544.247918334,1899079.52801711,2016790.20613576,2437698.93578836,762899.586977661,655372.67504308,660301.607231215,2659477.85329175,450951.318805773,632304.6578651
2599548.69889686,2386046.17357992,2410409.52186596,2598701.8943812,0,2148515.07756324,818203.102167826,3034594.5135393,2772547.44833147,2278025.6121069,1987218.61300696,2204992.34971076,1925846.03000493,2976573.0855145,2955112.1907579,2541606.34791064,1827708.94501508,2784744.65838975,977241.774135333,482195.959492892,2774673.59057789,3245970.92168595,3012494.00847591,1750014.64428735,1908750.57557542,716764.501987815,3254698.84374731,1702966.73760385,3376208.51173919,1539935.20831128,2668318.25151856,1655533.28009878,1735608.43995169,2262502.01770263,704894.444302727,581911.688245431,429808.224589211,2094742.5663487,2077149.63723614,2085049.13217275,614373.938657006,2214870.41662256,2033010.55224629
1358964.64556281,1094928.06563635,1421667.31445474,1642268.34483507,2148515.07756324,0,1681198.05153394,1479208.15280171,1282244.73272817,132693.434175952,1102535.28009878,951981.889505509,1060368.75785741,1735989.03218044,1714528.13742384,1898318.25151856,1111444.87630316,1544160.6050557,2885512.98552219,2014391.052434,1534089.53724383,2120555.48263432,1450480.23074035,706460.028204815,1154393.14447505,1772920.92296141,2119283.40469567,688629.509039019,2051378.85912518,1418697.61825805,1427734.19818451,608058.966544096,412906.637611546,956472.221513633,1787477.27214752,1877655.98769771,2300866.23254047,926231.672867565,989824.601980127,991925.107043516,2522645.15004386,1202103.8225937,1023675.41572251
1832149.63723614,1631108.0066758,1592206.41969814,1780498.79221337,818203.102167826,1681198.05153394,0,2275555.8415718,2013508.77636396,1813891.48570989,1169015.51083913,1518005.40957136,1114086.578651,2209174.02385378,2187713.12909718,1723403.24574282,1009505.84284726,2017345.59672904,1245905.77105976,382399.061660721,2007274.52891717,2427767.81951813,2253455.33650841,1238177.8489984,1090547.4734076,102267.027304759,2436495.74157948,1314350.28842544,2558005.40957136,721732.106143457,1900919.18985784,1233779.74593052,1268291.4139224,1594846.03000493,118580.735803744,236291.413922399,661259.01807804,1387838.88732999,1299365.79926458,1308436.86707644,883037.935581435,1396667.31445474,1221251.10089237
682227.488785465,648548.339959384,1376167.74773063,1325021.52006586,3034594.5135393,1479208.15280171,2275555.84157179,0,269865.007051206,1609558.44122715,1149302.74067943,829602.163828544,1163469.2629208,351923.88155425,280781.74593052,1504055.04935843,1268393.14447505,451149.278298666,3479870.77556004,2608748.84247185,461220.346110531,643104.689145491,28727.9220613578,1285165.65568958,1226013.41879808,2367278.71299927,641832.611206849,1869945.30957905,573342.279198726,1689140.40252016,617198.051533942,1789374.76708413,1592465.0788387,772092.495836668,2381835.06218537,2472013.77773556,2895224.02257832,939851.947190598,976190.042307222,967118.974495357,3117002.94008171,1156604.25586959,1062158.6050557
441293.121949843,386501.274751556,1114120.6825228,1334721.71290313,2772547.44833147,1282244.73272817,2013508.77636397,269865.007051206,0,1412595.02115361,887255.675471601,567555.098620715,901422.19771297,620031.529292575,548889.393668844,1620646.7279056,1006346.07926722,611258.634064435,3217823.71035221,2346701.77726402,601187.566252569,911212.336883812,247764.501987817,1023118.59048175,963966.353590254,2105231.64779144,909940.258945169,1607898.24437122,842035.713374673,1427093.33731233,494832.227193243,1527327.7018763,1330418.01363087,510045.430628837,2119787.99697754,2209966.71252773,2633176.95737049,677804.881982769,714142.977099393,705071.909287528,2854955.87487388,894557.190661766,800111.53984787
1489314.93398825,1225278.35406179,1552017.60288018,1772618.63326051,2278025.6121069,132693.434175952,1813891.48570989,1609558.44122715,1412595.02115361,0,1235228.71427473,1082332.17793095,1193062.19203336,1866339.32060589,1844878.42584928,2028668.53994401,1244138.31047911,1674510.89348114,3015023.52006585,2143901.58697766,1664439.82566927,2250905.77105976,1580830.5191658,839153.462380767,1287086.578651,1905614.35713737,2249633.69312112,671984.848098346,2181729.14755062,1551391.052434,1558084.48660995,740752.400720048,545600.071787499,1086822.50993907,1920170.70632347,2010349.42187366,2430376.76708413,1056581.96129301,1120174.89040557,1122275.39546896,2652155.68458752,1332454.11101915,1156368.84989846
